method,m,n,s,k,loss,alpha,beta,time,RF,norm_RF,anc_loss_recall,inc_loss_recall,cls_loss_recall,anc_recall,inc_recall,cls_recall,taxa_RI,taxa_recall,taxa_precision,char_RI,char_recall,char_precision,L,back_mut_inf,par_evo_inf,back_mut_true,par_evo_true,loss_recall,loss_precision,loss_F1,flip01_correct,flip01_incorrect,flip10_correct,flip10_incorrect,TN,FN,FP,TP,ones,zeros,inTN,inFN,inFP,inTP
SCITE,50,50,11,1,0.1,0.001,0.3,20440,19,0.678571,0.419244,0.66266,0.359551,0.642105,0.915888,0.444444,0.948571,0.428571,0.9903,0.979592,0.608696,0.994063,-875.708,0,0,9,0,0,nan,nan,32,5,4,3,2168,33,6,293,269,2231,2169,62,5,264,
SCITE,50,50,11,1,0.1,0.01,0.1,20275,24,0.774194,0.38488,0.658152,0.269663,0.589474,0.909657,0.333333,0.942857,0.384615,0.987654,0.981224,0.543478,0.998304,-369.606,0,0,9,0,0,nan,nan,27,10,3,8,2162,43,12,283,269,2231,2169,62,5,264,
SCITE,50,50,11,1,0.1,0.01,0.2,20341,26,0.8125,0.371134,0.656649,0.258427,0.568421,0.90758,0.319444,0.942857,0.384615,0.987654,0.979592,0.521739,0.997455,-602.376,0,0,9,0,0,nan,nan,25,12,3,8,2160,45,14,281,269,2231,2169,62,5,264,
SCITE,50,50,11,1,0.1,0.01,0.3,20423,26,0.8125,0.364261,0.658152,0.269663,0.557895,0.909657,0.333333,0.943673,0.395604,0.987654,0.979592,0.543478,0.996607,-877.441,0,0,9,0,0,nan,nan,27,12,3,7,2160,42,14,284,269,2231,2169,62,5,264,
SCITE,50,50,11,1,0.2,0.0001,0.1,20242,27,0.818182,0.346479,0.560334,0.203883,0.647368,0.906542,0.291667,0.938776,0.395604,0.982363,0.974694,0.4,0.99661,-398.866,0,0,14,0,0,nan,nan,34,22,3,1,2188,28,24,260,232,2268,2207,61,5,227,
SCITE,50,50,11,1,0.2,0.0001,0.2,20392,26,0.8125,0.349296,0.561617,0.203883,0.652632,0.908619,0.291667,0.946122,0.43956,0.986772,0.97551,0.422222,0.99661,-620.586,0,0,14,0,0,nan,nan,35,21,3,1,2189,27,23,261,232,2268,2207,61,5,227,
SCITE,50,50,11,1,0.2,0.0001,0.3,20222,29,0.852941,0.35493,0.56611,0.194175,0.663158,0.915888,0.277778,0.942041,0.395604,0.985891,0.973061,0.377778,0.995763,-893.252,0,0,14,0,0,nan,nan,33,23,4,0,2188,28,24,260,232,2268,2207,61,5,227,
SCITE,50,50,11,1,0.2,0.001,0.1,20251,28,0.848485,0.340845,0.561617,0.194175,0.636842,0.908619,0.277778,0.94449,0.43956,0.985009,0.973878,0.4,0.995763,-389.861,0,0,14,0,0,nan,nan,34,22,3,1,2188,28,24,260,232,2268,2207,61,5,227,
SCITE,50,50,11,1,0.2,0.001,0.2,20304,26,0.8125,0.349296,0.561617,0.203883,0.652632,0.908619,0.291667,0.946122,0.43956,0.986772,0.97551,0.422222,0.99661,-611.581,0,0,14,0,0,nan,nan,35,21,3,1,2189,27,23,261,232,2268,2207,61,5,227,
SCITE,50,50,11,1,0.2,0.001,0.3,20199,28,0.848485,0.340845,0.561617,0.194175,0.636842,0.908619,0.277778,0.94449,0.43956,0.985009,0.973878,0.4,0.995763,-884.247,0,0,14,0,0,nan,nan,34,22,3,1,2188,28,24,260,232,2268,2207,61,5,227,
SCITE,50,50,11,1,0.2,0.01,0.1,20318,28,0.823529,0.31831,0.560976,0.184466,0.594737,0.90758,0.263889,0.938776,0.384615,0.983245,0.976327,0.4,0.998305,-374.527,0,0,14,0,0,nan,nan,31,15,3,4,2195,34,17,254,232,2268,2207,61,5,227,
SCITE,50,50,11,1,0.2,0.01,0.2,20332,30,0.857143,0.329577,0.568036,0.174757,0.615789,0.919003,0.25,0.942857,0.406593,0.985891,0.974694,0.377778,0.997458,-604.357,0,0,14,0,0,nan,nan,31,15,4,3,2196,33,16,255,232,2268,2207,61,5,227,
SCITE,50,50,11,1,0.2,0.01,0.3,20320,27,0.818182,0.31831,0.560976,0.184466,0.594737,0.90758,0.263889,0.942857,0.406593,0.985891,0.977143,0.422222,0.998305,-882.412,0,0,14,0,0,nan,nan,31,15,3,4,2195,34,17,254,232,2268,2207,61,5,227,
SCITE,50,50,11,1,0.4,0.0001,0.1,20512,27,0.818182,0.234375,0.514912,0.152542,0.473684,0.878505,0.25,0.946939,0.43956,0.987654,0.971429,0.377778,0.994068,-396.367,0,0,16,0,0,nan,nan,26,24,3,2,2203,34,26,237,218,2282,2224,58,5,213,
SCITE,50,50,11,1,0.4,0.0001,0.2,20436,27,0.818182,0.234375,0.514912,0.152542,0.473684,0.878505,0.25,0.946939,0.43956,0.987654,0.971429,0.377778,0.994068,-624.601,0,0,16,0,0,nan,nan,26,24,3,2,2203,34,26,237,218,2282,2224,58,5,213,
SCITE,50,50,11,1,0.4,0.0001,0.3,20225,25,0.78125,0.242188,0.514912,0.161017,0.489474,0.878505,0.263889,0.948571,0.43956,0.989418,0.973061,0.4,0.994915,-902.37,0,0,16,0,0,nan,nan,27,23,3,2,2204,33,25,238,218,2282,2224,58,5,213,
SCITE,50,50,11,1,0.4,0.001,0.1,20302,25,0.78125,0.252604,0.517955,0.169492,0.510526,0.883697,0.277778,0.948571,0.43956,0.989418,0.973878,0.4,0.995763,-379.084,0,0,16,0,0,nan,nan,25,16,4,3,2212,36,17,235,218,2282,2224,58,5,213,
SCITE,50,50,11,1,0.4,0.001,0.2,20145,25,0.78125,0.244792,0.511869,0.169492,0.494737,0.873313,0.277778,0.947755,0.428571,0.989418,0.973878,0.4,0.995763,-614.617,0,0,16,0,0,nan,nan,25,16,3,4,2211,37,18,234,218,2282,2224,58,5,213,
SCITE,50,50,11,1,0.4,0.001,0.3,20307,25,0.78125,0.244792,0.511869,0.169492,0.494737,0.873313,0.277778,0.94449,0.406593,0.987654,0.973878,0.4,0.995763,-897.237,0,0,16,0,0,nan,nan,24,17,3,4,2210,38,19,233,218,2282,2224,58,5,213,
SCITE,50,50,11,1,0.4,0.01,0.1,20425,27,0.818182,0.221354,0.517955,0.144068,0.447368,0.883697,0.236111,0.942041,0.384615,0.986772,0.969796,0.355556,0.99322,-381.26,0,0,16,0,0,nan,nan,18,20,4,8,2208,48,21,223,218,2282,2224,58,5,213,
SCITE,50,50,11,1,0.4,0.01,0.2,20372,27,0.818182,0.221354,0.517955,0.144068,0.447368,0.883697,0.236111,0.942041,0.384615,0.986772,0.969796,0.355556,0.99322,-619.225,0,0,16,0,0,nan,nan,18,20,4,8,2208,48,21,223,218,2282,2224,58,5,213,
SCITE,50,50,11,1,0.4,0.01,0.3,20297,25,0.78125,0.231771,0.517955,0.161017,0.468421,0.883697,0.263889,0.945306,0.417582,0.987654,0.973061,0.4,0.994915,-890.035,0,0,16,0,0,nan,nan,23,10,4,6,2218,41,11,230,218,2282,2224,58,5,213,
SCITE,50,50,12,1,0.1,0.0001,0.1,20294,21,0.636364,0.537671,0.710608,0.35443,0.737089,0.959958,0.444444,0.971429,0.603175,0.991394,0.986939,0.674419,0.998308,-368.302,0,0,8,0,0,nan,nan,43,4,3,0,2189,20,4,287,247,2253,2190,63,3,244,
SCITE,50,50,12,1,0.1,0.0001,0.2,20375,19,0.59375,0.541096,0.706708,0.35443,0.741784,0.954689,0.444444,0.974694,0.587302,0.995697,0.986939,0.651163,0.999154,-595.554,0,0,8,0,0,nan,nan,44,3,2,1,2189,20,4,287,247,2253,2190,63,3,244,
SCITE,50,50,12,1,0.1,0.0001,0.3,20511,19,0.59375,0.541096,0.710608,0.35443,0.741784,0.959958,0.444444,0.977959,0.666667,0.994836,0.986939,0.674419,0.998308,-871.067,0,0,8,0,0,nan,nan,44,3,3,0,2190,19,3,288,247,2253,2190,63,3,244,
SCITE,50,50,12,1,0.1,0.001,0.1,20261,19,0.59375,0.541096,0.710608,0.35443,0.741784,0.959958,0.444444,0.977959,0.666667,0.994836,0.986939,0.674419,0.998308,-361.614,0,0,8,0,0,nan,nan,44,3,3,0,2190,19,3,288,247,2253,2190,63,3,244,
SCITE,50,50,12,1,0.1,0.001,0.2,20269,19,0.59375,0.541096,0.710608,0.35443,0.741784,0.959958,0.444444,0.977959,0.666667,0.994836,0.986939,0.674419,0.998308,-588.866,0,0,8,0,0,nan,nan,44,3,3,0,2190,19,3,288,247,2253,2190,63,3,244,
SCITE,50,50,12,1,0.1,0.001,0.3,20372,21,0.636364,0.537671,0.710608,0.35443,0.737089,0.959958,0.444444,0.971429,0.603175,0.991394,0.986939,0.674419,0.998308,-864.379,0,0,8,0,0,nan,nan,43,4,3,0,2189,20,4,287,247,2253,2190,63,3,244,
SCITE,50,50,12,1,0.1,0.01,0.1,20332,25,0.714286,0.513699,0.710608,0.35443,0.704225,0.959958,0.444444,0.971429,0.52381,0.995697,0.986939,0.651163,0.999154,-348.928,0,0,8,0,0,nan,nan,35,0,2,5,2192,33,1,274,247,2253,2190,63,3,244,
SCITE,50,50,12,1,0.1,0.01,0.2,20340,25,0.714286,0.513699,0.711388,0.35443,0.704225,0.961012,0.444444,0.971429,0.52381,0.995697,0.986939,0.674419,0.998308,-585.911,0,0,8,0,0,nan,nan,35,0,3,4,2193,32,0,275,247,2253,2190,63,3,244,
SCITE,50,50,12,1,0.1,0.01,0.3,20277,25,0.714286,0.513699,0.711388,0.35443,0.704225,0.961012,0.444444,0.971429,0.52381,0.995697,0.986939,0.674419,0.998308,-867.892,0,0,8,0,0,nan,nan,35,0,3,4,2193,32,0,275,247,2253,2190,63,3,244,
SCITE,50,50,12,1,0.2,0.0001,0.1,20402,19,0.612903,0.414925,0.622101,0.255556,0.652582,0.961012,0.365079,0.97551,0.68254,0.991394,0.989388,0.7,0.999156,-385.275,0,0,12,0,0,nan,nan,37,12,4,0,2224,16,12,248,215,2285,2232,53,4,211,
SCITE,50,50,12,1,0.2,0.0001,0.2,20178,17,0.566667,0.41791,0.622101,0.255556,0.657277,0.961012,0.365079,0.982041,0.746032,0.994836,0.989388,0.7,0.999156,-614.674,0,0,12,0,0,nan,nan,38,11,4,0,2225,15,11,249,215,2285,2232,53,4,211,
SCITE,50,50,12,1,0.2,0.0001,0.3,20358,17,0.566667,0.41791,0.622101,0.255556,0.657277,0.961012,0.365079,0.982041,0.746032,0.994836,0.989388,0.7,0.999156,-893.382,0,0,12,0,0,nan,nan,38,11,4,0,2225,15,11,249,215,2285,2232,53,4,211,
SCITE,50,50,12,1,0.2,0.001,0.1,20233,21,0.65625,0.397015,0.622101,0.255556,0.624413,0.961012,0.365079,0.97551,0.68254,0.991394,0.989388,0.7,0.999156,-372.176,0,0,12,0,0,nan,nan,32,12,4,1,2224,22,12,242,215,2285,2232,53,4,211,
